F10,F11,F2,F3,F4,F5,F6,F7,F8,Current Victorian Liquor Licences for Metro & CBD as of 31/12/2020,F9
MELBOURNE CITY COUNCIL,MEYERS PLACE PTY LTD,On-Premises Licence,MEYERS PLACE BAR,7/24 CROSSLEY STREET,MELBOURNE,3000,PO BOX 12438,MELBOURNE,32344426,8006
MELBOURNE CITY COUNCIL,DRUMPLINGS PTY LTD,Restaurant and cafe Licence,DRUMPLINGS,227-229 BOURKE STREET,MELBOURNE,3000,227-229 BOURKE STREET,MELBOURNE,32344549,3000
PORT PHILLIP CITY COUNCIL,6 DEGREES CAFE PTY LTD,Restaurant and cafe Licence,SIX DEGREES COFFEE & FOOD CO,2/456 ST KILDA ROAD,MELBOURNE,3004,2/456 ST KILDA ROAD,MELBOURNE,32344785,3004
MELBOURNE CITY COUNCIL,FOOD THOUGHT GROUP PTY LTD,Restaurant and cafe Licence,RUSTICA RIALTO,"RETAIL 11, PODIUM RIALTO                           525 COLLINS STREET",MELBOURNE,3000,"RETAIL 11 COLLINS STREET PODIUM, 525 COLLINS STREE",Melbourne,32344874,3123
MELBOURNE CITY COUNCIL,RIALTO SPECIALTY COFFEE GROUP PTY LTD,Restaurant and cafe Licence,SENSORY LAB,"TENANCY 9, RIALTO COMPLEX                          525 COLLINS STREET",MELBOURNE,3000,4 YARRA STREET,SOUTH MELBOURNE,32344989,3205
MELBOURNE CITY COUNCIL,HANAICHI PTY LTD,Restaurant and cafe Licence,HANAICHI,SHOP 13-15 QV SQUARE                               CNR SWANSTON STREET AND LONSDALE STREET,MELBOURNE,3000,SHOP 13-15 QV SQUARE                               CNR SWANSTON STREET AND LONSDALE STREET,MELBOURNE,32345333,3000
MELBOURNE CITY COUNCIL,HANDO CO PTY LTD,Restaurant and cafe Licence,MANSAE KOREAN BBQ & BAR,SHOP 9 120 A'BECKETT STREET,MELBOURNE,3000,SHOP 9 120 A'BECKETT STREET,MELBOURNE,32345367,3000
MELBOURNE CITY COUNCIL,JYWON PTY LTD,Restaurant and cafe Licence,ROLLING NORI,"T302, 13 ROSE LANE",MELBOURNE,3000,"4508, 639 LONSDALE STREET",MELBOURNE,32345383,3000
MELBOURNE CITY COUNCIL,BRO JJ PTY LTD,Restaurant and cafe Licence,HAKOYA RAMEN,"102T, 609 LONSDALE STREET",MELBOURNE,3000,1/48 AUSTIN CRESCENT,PASCOE VALE,32345561,3044
MELBOURNE CITY COUNCIL,TWOKOREAN PTY LTD,Restaurant and cafe Licence,KOREAN TABLE,"T407, 33 ROSE LANE",MELBOURNE,3000,4508 / 639 LONSDALE STREET,MELBOURNE,32345600,3000
MELBOURNE CITY COUNCIL,QZ TRADITIONAL FOOD PTY LTD,Restaurant and cafe Licence,TANG HUO KUNG FU,277 ELIZABETH STREET,MELBOURNE,3000,277 ELIZABETH STREET,MELBOURNE,32345642,3000
MELBOURNE CITY COUNCIL,MAKAN ON COLLINS PTY LTD,Restaurant and cafe Licence,MAKAN RESTAURANT,360 COLLINS STREET,MELBOURNE,3000,360 COLLINS STREET,MELBOURNE,32345668,3000
MELBOURNE CITY COUNCIL,LAND THAI,Restaurant and cafe Licence,ASIA UNIQUE,"SHOP 5, PARAMOUNT CENTRE                           108 BOURKE STREET",MELBOURNE,3000,"SHOP 5, PARAMOUNT CENTRE                           108 BOURKE STREET",MELBOURNE,32345862,3000
MELBOURNE CITY COUNCIL,RUSTICA CAFE GROUP 2 PTY LTD,Restaurant and cafe Licence,RUSTICA,"LEVEL 2, SHOP 226, 300 LONSDALE STREET             MELBOURNE CENTRAL",MELBOURNE,3000,402 BRUNSWICK STREET,FITZROY,32346046,3065
PORT PHILLIP CITY COUNCIL,QUEENS LANE CAFE PTY LTD,Restaurant and cafe Licence,MR. PERCIVAL,GROUND FLOOR                                       14 QUEENS ROAD,MELBOURNE,3004,PO BOX 6606,MELBOURNE,32346177,3004
MELBOURNE CITY COUNCIL,Q & Y YUMMY FOOD PTY LTD,Restaurant and cafe Licence,KANEDA JAPANESE RESTAURANT,"SHOP 6, 200 BOURKE STREET",MELBOURNE,3000,"SHOP 6, 200 BOURKE STREET",MELBOURNE,32346185,3000
MELBOURNE CITY COUNCIL,BA FANG YUN JI INTERNATIONAL PTY LTD,Restaurant and cafe Licence,DRAGON HOT POT,433 ELIZABETH STREET,MELBOURNE,3000,PO BOX 722,BRENTFORD SQUARE,32346266,3131
MELBOURNE CITY COUNCIL,PARKCHOI PTY LTD,Restaurant and cafe Licence,UPSTAIRS 360,"LEVEL 1, 360 LATROBE STREET",MELBOURNE,3000,"LEVEL 1, 360 LATROBE STREET",MELBOURNE,32346347,3000
MELBOURNE CITY COUNCIL,THE TAKETORI PTY LTD,Restaurant and cafe Licence,TAKETORI FUSION JAPANESE,"SHOP 1, 269 KING STREET",MELBOURNE,3000,"SHOP1, 269 KING STREET                             269 KING STREET",MELBOURNE,32346355,3000
MELBOURNE CITY COUNCIL,FINE SICHUAN FOOD MANAGEMENT GROUP PTY LTD,Restaurant and cafe Licence,DAVID'S HOT POT,279 LA TROBE STREET,MELBOURNE,3000,"SUITE 1, LEVEL 7                                   179 QUEEN STREET",MELBOURNE,32346541,3000
MELBOURNE CITY COUNCIL,263 LITTLE BOURKE PTY LTD,Restaurant and cafe Licence,DA HU THE GREAT TIGER,"LEVEL 1, 219 SWANSTON STREET",MELBOURNE,3000,"LEVEL 1, 219 SWANSTON STREET",MELBOURNE,32346630,3000
MELBOURNE CITY COUNCIL,JIANMIN PTY LTD,Restaurant and cafe Licence,TOKYO 7 JAPANESE RESTAURANT,"109R, 228 A'BECKETT STREET",MELBOURNE,3000,7 FREDERICK WAY,MELBOURNE,32346648,3000
MELBOURNE CITY COUNCIL,GRANDMA CATERING GROUP PTY LTD,Restaurant and cafe Licence,GRANDMA NOODLES,150 LITTLE BOURKE ST,MELBOURNE,3000,4 LYDIA CT,DEEPDENE,32346664,3103
MELBOURNE CITY COUNCIL,SICHUAN GOURMET CUISINE PTY LTD,Restaurant and cafe Licence,CHEF DAVID,"VICTORIA ONE TOWER, LEVEL 1                        452 ELIZABETH STREET",MELBOURNE,3000,"SUITE 1, LEVEL 7                                   179 QUEEN STREET",MELBOURNE,32346672,3000
MELBOURNE CITY COUNCIL,SHUJINKO FLINDERS PTY LTD,Restaurant and cafe Licence,SHUJINKO FLINDERS,"SHOP 13, 276 FLINDERS STREET",MELBOURNE,3000,"SHOP 13, 276 FLINDERS STREET",MELBOURNE,32346779,3000
MELBOURNE CITY COUNCIL,SICHUAN FOOD STREET PTY LTD,Restaurant and cafe Licence,DAVID'S MALATANG,166 RUSSELL ST,MELBOURNE,3000,"SUITE 1, LEVEL 7                                   179 QUEEN STREET",MELBOURNE,32346795,3000
MELBOURNE CITY COUNCIL,CAFE WAGON 88 PTY LTD,Restaurant and cafe Licence,STREET WRAP MELBOURNE - CAFE WAGON 88 PVT,536 LONSDALE STREET,MELBOURNE,3000,536 LONSDALE STREET,MELBOURNE,32346800,3000
MELBOURNE CITY COUNCIL,DA LONG YI MELBOURNE PTY LTD,Restaurant and cafe Licence,,400 ELIZABETH STREET,MELBOURNE,3000,9 DANIEL ST,BURWOOD,32347042,3125
MELBOURNE CITY COUNCIL,VR STUDIOS PTY LTD,On-Premises Licence,VIRI VR,555 FLINDERS LANE,MELBOURNE,3000,555 FLINDERS LANE,MELBOURNE,32347131,3000
MELBOURNE CITY COUNCIL,SOUPERMAN KITCHEN PTY LTD,Restaurant and cafe Licence,SOUPERMAN KITCHEN,SHOP B45 744 BOURKE STREET,MELBOURNE,3000,3707/100 HARBOUR ESP,DOCKLANDS,32347212,3008
MELBOURNE CITY COUNCIL,AVC OPERATIONS PTY LTD,On-Premises Licence,STATE OF GRACE EST. 2013,BASEMENT LEVEL                                     27-31 KING STREET,MELBOURNE,3000,"LEVEL 3, 616 ST KILDA ROAD",MELBOURNE,32347327,3004
MELBOURNE CITY COUNCIL,SEOUL NEWTOWN PTY LTD,Restaurant and cafe Licence,GOGI MATCHA,TENANCY 2-4                                        597 LITTLE LONSDALE STREET,MELBOURNE,3000,TENANCY 2-4                                        597 LITTLE LONSDALE STREET,MELBOURNE,32347343,3000
MELBOURNE CITY COUNCIL,BELLES HOT CHICKEN GALLERIA PTY LTD,Restaurant and cafe Licence,BELLES HOT CHICKEN GALLERIA,SHOP E22-23 GALLERIA                               385 BOURKE STREET,MELBOURNE,3000,"LEVEL 16, 414 LA TROBE STREET",MELBOURNE,32347377,3000
MELBOURNE CITY COUNCIL,HIBIKI AUSTRALIA PTY LTD,Restaurant and cafe Licence,SUSHI JIRO QV,"Q5003, QV SHOPPING CENTRE                          CNR SWANSTON AND LONSDALE STREET",MELBOURNE,3000,PO BOX 772 BRENTFORD SQUARE,FOREST HILL,32347490,3131
MELBOURNE CITY COUNCIL,SEORAE GALMAEGI PTY LTD,Restaurant and cafe Licence,SEORAE GALMAEGI,26-28 ARTEMIS LANE,MELBOURNE,3000,26-28 ARTEMIS LANE,MELBOURNE,32347505,3000
MELBOURNE CITY COUNCIL,THE ORIENT DRAGON HOT POT PTY LTD,Restaurant and cafe Licence,THE ORIENT DRAGON HOT POT,55-59 A'BECKETT STREET,MELBOURNE,3000,1907/218 A'BECKETT STREET,MELBOURNE,32347513,3000
MELBOURNE CITY COUNCIL,DONGDONG JIANG PTY LTD,Restaurant and cafe Licence,TANG'S SPICY HOT POT,471 ELIZABETH STREET,MELBOURNE,3000,471 ELIZABETH STREET,MELBOURNE,32347733,3000
MELBOURNE CITY COUNCIL,ZAO BUER PTY LTD,Restaurant and cafe Licence,ZAO BUER,"LEVEL 3, 219 SWANSTON ST",MELBOURNE,3000,"LEVEL 3, 219 SWANSTON STREET",MELBOURNE,32347783,3000
MELBOURNE CITY COUNCIL,DI STASIO CITTA PTY LTD,Restaurant and cafe Licence,DI STASIO CITTA,"GROUND FLOOR, 45 SPRING STREET",MELBOURNE,3000,"GROUND FLOOR, 45 SPRING STREET",MELBOURNE,32348187,3000
MELBOURNE CITY COUNCIL,PLUS EIGHT FIVE TWO PTY LTD,Restaurant and cafe Licence,PLUS EIGHT FIVE TWO,"SHOP G3,163 FRANKLIN STREET",MELBOURNE,3000,1 WHISTLER CRESCENT,POINT COOK,32348226,3030
MELBOURNE CITY COUNCIL,MARDIJ PTY LTD,On-Premises Licence,CAFE BABBO,SHOP 7                                             50 LONSDALE ST,MELBOURNE,3000,SHOP 7                                             50 LONSDALE ST,MELBOURNE,32348242,3000
MELBOURNE CITY COUNCIL,SAFE SMOOTH PTY LTD,Restaurant and cafe Licence,NOODLE VILLA,281 ELIZABETH STREET,MELBOURNE,3000,PO BOX 233,MOUNT WAVERLEY,32348268,3149
MELBOURNE CITY COUNCIL,AVC OPERATIONS PTY LTD,Restaurant and cafe Licence,STATE OF GRACE EST. 2013,ROOFTOP LEVEL                                      27 - 31 KING STREET,MELBOURNE,3000,LEVEL 3                                            616 ST KILDA ROAD,MELBOURNE,32348284,3000
MELBOURNE CITY COUNCIL,THARROS PTY LTD,Restaurant and cafe Licence,CAFE SEGOVIA,33 BLOCK PLACE,MELBOURNE,3000,33 BLOCK PLACE,MELBOURNE,32348357,3000
MELBOURNE CITY COUNCIL,COOKING CORNER (AUSTRALIA) PTY. LTD.,Restaurant and cafe Licence,COOKING CORNER,SHOP 1 & 2                                         542-546 LITTLE BOURKE ST,MELBOURNE,3000,SHOP 1 & 2                                         542-546 LITTLE BOURKE ST,MELBOURNE,32348412,3000
MELBOURNE CITY COUNCIL,JNK FOODS PTY LTD,Restaurant and cafe Licence,KASS KASS,1 / 500 FLINDERS STREET,MELBOURNE,3000,UNIT 1505/603 CITY ROAD,SOUTHBANK,32348577,3006
MELBOURNE CITY COUNCIL,THE NEW CAPITALIST PTY LTD,Restaurant and cafe Licence,CHAPTER HOUSE COFFEE,209 FLINDERS LANE,MELBOURNE,3000,340 HENLEY ROAD,KANGAROO GROUND,32348682,3097
MELBOURNE CITY COUNCIL,BETTY'S BURGERS AUSTRALIA PTY LTD,Restaurant and cafe Licence,BETTYS BURGERS & CONCRETE CO. EXHIBITION STREET,222 EXHIBITION STREET,MELBOURNE,3000,"LEVEL 1, TOWER 2, CHADSTONE PLACE                  1341 DANDENONG ROAD",CHADSTONE,32348836,3148
MELBOURNE CITY COUNCIL,TOP ONE FASHION WHOLESALE PTY LTD,Restaurant and cafe Licence,OLD MAN PHO,"SHOP 19-21, LVL 1, QV2                             CNR LONSDALE AND SWANSTON STREETS",MELBOURNE,3000,323                                                GORDON STREET,MARIBYRNONG,32348878,3032
MELBOURNE CITY COUNCIL,P & A GLORY PTY LTD,Restaurant and cafe Licence,OSAKA BENCH,SHOP 1B 289 FLINDERS LANE,MELBOURNE,3000,SHOP 1B 289 FLINDERS LANE,MELBOURNE,32348933,3000
MELBOURNE CITY COUNCIL,LAY FOOD & BEVERAGE GROUP PTY LTD,Restaurant and cafe Licence,ANDA CAFE,"GROUND FLOOR, 215 SPRING STREET",MELBOURNE,3000,215 SPRING STREET,MELBOURNE,32348941,3000
MELBOURNE CITY COUNCIL,FAMOUS FOUR PTY LTD,On-Premises Licence,CHUCKLE PARK,LANEWAY HUB ARCADE                                 318-322 LITTLE COLLINS ST,MELBOURNE,3000,LANEWAY                                            318-322 LITTLE COLLINS ST,MELBOURNE,32349036,3000
MELBOURNE CITY COUNCIL,ESKIMO FIVE PTY LTD,On-Premises Licence,ICEBAR MELBOURNE,"FEDERATION SQUARE                                  TENANCY 32, THE ATRIUM, SWANSTON STREET",MELBOURNE,3000,"FEDERATION SQUARE                                  TENANCY 32, THE ATRIUM, SWANSTON STREET",MELBOURNE,32349117,3000
MELBOURNE CITY COUNCIL,TAGARAMPUDI RITESH RAJ,Restaurant and cafe Licence,SALAAM NAMASTE'S DOSAHUT DOCKLANDS,"SHOP CW G07 LOCATED ON GROUND FLOOR, DISTRICT DOCK",MELBOURNE,3000,702/668 BOURKE STREET,Melbourne cbd,32349125,3000
MELBOURNE CITY COUNCIL,SICHUAN STREET FOOD PTY LTD,Restaurant and cafe Licence,,"VICTORIA ONE TOWER, GROUND FLOOR                   452 ELIZABETH STREET",MELBOURNE,3000,"SUITE 1, LEVEL 7                                   179 QUEEN STREET",MELBOURNE,32349476,3000
MELBOURNE CITY COUNCIL,FOB FOODS PTY LTD,Restaurant and cafe Licence,CO HANH,"T3, 348 FLINDERS LANE                              MELBOURNE CBD",MELBOURNE,3000,"T3, 348 FLINDERS LANE                              MELBOURNE CBD",MELBOURNE,32349719,3000
MELBOURNE CITY COUNCIL,XUDONGJIANG PTY LTD,Restaurant and cafe Licence,ISSHIN RAMEN BAR,LEVEL 1                                            349 ELIZABETH ST,MELBOURNE,3000,LEVEL 1                                            349 ELIZABETH ST,MELBOURNE,32349905,3000
MELBOURNE CITY COUNCIL,DRI MASON PTY LTD,Restaurant and cafe Licence,YUZU AT DEGRAVES,13 DEGRAVES ST,MELBOURNE,3000,13 DEGRAVES ST,MELBOURNE,32349963,3000
MELBOURNE CITY COUNCIL,TINKER TAILOR BAR PTY LTD,On-Premises Licence,BAR CLARA,SHOP 5                                             85-87 LITTLE BOURKE STREET,MELBOURNE,3000,87 LITTLE BOURKE STREET                            87 LITTLE BOURKE STREET,MELBOURNE,32350150,3000
MELBOURNE CITY COUNCIL,ML. KAMKARCO PTY LTD,On-Premises Licence,MEAT THE CHALLENGE,TENANCY FLR 2.04                                   260 COLLINS STREET,MELBOURNE,3000,PO BOX 515,FLINDEES LANE,32350299,8009
MELBOURNE CITY COUNCIL,WORKSMITH COWORKING PTY LTD,On-Premises Licence,WORKSMITH COWORKING,"TENANCY GD090, MELBOURNE CENTRAL                   360 ELIZABETH STREET",MELBOURNE,3000,450 SMITH STREET,COLLINGWOOD,32350338,3066
MELBOURNE CITY COUNCIL,SAM SAM MC PTY LTD,On-Premises Licence,SAM SAM MC,"TENANCY GD080, MELBOURNE CENTRAL                   360 ELIZABETH STREET",MELBOURNE,3000,"LEVEL 3, 207-209                                   SWANSTON STREET",MELBOURNE,32350354,3000
MELBOURNE CITY COUNCIL,AYATANA PTY LTD,On-Premises Licence,SON IN LAW BY AYATANA,"TENANCY GD81, GROUND LEVEL                         MELB CENTRAL, 360 ELIZABETH STREET",MELBOURNE,3000,56 JOHNSTON STREET,COLLINGWOOD,32350396,3066
MELBOURNE CITY COUNCIL,REYES & CO PTY LTD,Restaurant and cafe Licence,CLUB COLOMBIA,118 QUEEN ST,MELBOURNE,3000,4/4 GRAHAM STREET                                  3207,Port Melbourne,32350574,3207
MELBOURNE CITY COUNCIL,CRYSTAL JADE HOLDINGS PTY LTD,Restaurant and cafe Licence,FOOD FACTORY@ UWS,23-29 ROSE LANE,MELBOURNE,3000,23-29 ROSE LANE,MELBOURNE,32350621,3000
MELBOURNE CITY COUNCIL,TOUCHE HOMBRE (AUSTRALIA) PTY LTD,Late night (on-premises) Licence,TOUCHE HOMBRE,"SHOP 2, 233 LONSDALE STREET",MELBOURNE,3000,460 MALVERN ROAD,PRAHRAN,32350702,3181
MELBOURNE CITY COUNCIL,ELIZABETH FRESH FOOD PTY LTD,Restaurant and cafe Licence,SUSHI HUB ELIZABETH 2,475 ELIZABETH STREET,MELBOURNE,3000,"PO BOX Q1863, QUEEN VICTORIA BUILDING",SYDNEY,32350809,1230
MELBOURNE CITY COUNCIL,165 FLINDERS LANE PTY LTD,Restaurant and cafe Licence,165 FLINDERS LANE,MCDONALD HOUSE                                     165 FLINDERS LANE,MELBOURNE,3000,MCDONALD HOUSE                                     165 FLINDERS LANE,MELBOURNE,32350998,3000
MELBOURNE CITY COUNCIL,SPOTLESS FACILITY SERVICES PTY LTD,On-Premises Licence,ALLIANCE CATERING,LEVELS 23 & 24                                     8 EXHIBITION ST,MELBOURNE,3000,ATTN: GROUP RISK AND ASSURANCE                     549 ST KILDA RD,MELBOURNE,32351083,3004
MELBOURNE CITY COUNCIL,SALLY'S KITCHEN PTY LTD,Restaurant and cafe Licence,SALLY'S KITCHEN & WINE BAR,TENANCY 2                                          109-115 LITTLE LONSDALE STREET,MELBOURNE,3000,291 AMESS STREET,CARLTON NORTH,32351114,3054
MELBOURNE CITY COUNCIL,PELICANA FRIED CHICKEN PTY LTD,Restaurant and cafe Licence,PELICANA FRIED CHICKEN AND BEER,"5C, SHOP G5, 163 FRANKLIN STREET",MELBOURNE,3000,"5C, SHOP G5, 163 FRANKLIN STREET",MELBOURNE,32351253,3000
MELBOURNE CITY COUNCIL,PHAT FATT FOODS PTY LTD,Restaurant and cafe Licence,TIAN38,"TENANCY 4, 350 FLINDERS LANE",MELBOURNE,3000,60 MOONDANI AVENUE,ST ALBANS,32351334,3021
MELBOURNE CITY COUNCIL,HOWITT HOUSE PTY LTD,On-Premises Licence,HOWITT HOUSE,KIOSK LOBBY                                        1 COLLINS STREET,MELBOURNE,3000,2/8 CLAPHAM RD,HUGHESDALE,32351619,3166
MELBOURNE CITY COUNCIL,HE XIN LAN PTY LTD,Restaurant and cafe Licence,HANA'S KITCHEN,344 LITTLE BOURKE STREET,MELBOURNE,3000,344 LITTLE BOURKE STREET,MELBOURNE,32351685,3000
MELBOURNE CITY COUNCIL,SHORI GROUP PTY. LTD.,Restaurant and cafe Licence,BINCHO BOSS,383-385 LITTLE BOURKE ST,MELBOURNE,3000,UNIT 3911                                          618 LONSDALE STREET,MELBOURNE,32351813,3000
MELBOURNE CITY COUNCIL,JULY FIRE PTY LTD,Restaurant and cafe Licence,RISING EMBERS,"LEVEL 1, 139 LITTLE BOURKE STREET",MELBOURNE,3000,PO BOX 233,MOUNT WAVERLEY,32351871,3149
MELBOURNE CITY COUNCIL,MAX HARDWARE LANE PTY LTD,Restaurant and cafe Licence,MAX ON HARDWARE,LEVEL 1                                            56 HARDWARE LANE,MELBOURNE,3000,LEVEL 1                                            56 HARDWARE LANE,MELBOURNE,32351902,3000
MELBOURNE CITY COUNCIL,MARY'S MELBOURNE PTY LTD,Restaurant and cafe Licence,,"TENANCY 5, GROUND FLOOR                            167-173 FRANKLIN STREET",MELBOURNE,3000,"TENANCY 5, GROUND FLOOR                            167-173 FRANKLIN STREET",MELBOURNE,32351994,3000
MELBOURNE CITY COUNCIL,PAN E VIN GROUP PTY LTD,On-Premises Licence,KSR BAR,"1ST FLOOR, 62 KING STREET                          ENTRY VIA THE PLAZA, RIALTO TOWERS 525 COLLINS STR",MELBOURNE,3000,LEVEL 27 RIALTO TOWER NORTH                        525 COLLINS STREET,MELBOURNE,32352178,3000
MELBOURNE CITY COUNCIL,NICK AND NORA'S MELBOURNE PTY LTD,On-Premises Licence,NICK & NORA'S MELBOURNE,80 COLLINS STREET,MELBOURNE,3000,"C/O SPEAKEASY GROUP                                LEVEL 1, 106-112 HARDWARE STREET",MELBOURNE,32352186,3000
MELBOURNE CITY COUNCIL,TEAM 1 GROUP PTY LTD,On-Premises Licence,PICK A STICK,"TENANCY GD82, GROUND LEVEL, MELBOURNE CENTRAL      SHOPPING CENTRE, 360 ELIZABETH STREET",MELBOURNE,3000,PO BOX 233,MOUNT WAVERLEY,32352576,3149
MELBOURNE CITY COUNCIL,YANG BROTHERS PTY LTD,Restaurant and cafe Licence,YANG BROTHERS,189-191 KING ST,MELBOURNE,3000,189 KING ST,MELBOURNE,32352657,3000
MELBOURNE CITY COUNCIL,SHUJINKO EXPRESS PTY LTD,On-Premises Licence,SHUJINKO EXPRESS PTY LTD,"TENANCY FL 2.02, LEVEL 2                           ST COLLINS LANE 260 COLLINS STREET",MELBOURNE,3000,UNIT 2 / 67 HARDWARE LANE,MELBOURNE,32352801,3000
MELBOURNE CITY COUNCIL,APB FULTON PTY LTD,Restaurant and cafe Licence,MORPHA,"TENANCIES 4A,4B & 4C                               SHOP G1, 153 FRANKLIN STREET",MELBOURNE,3000,21 NETHERLEE STREET,GLEN IRIS,32352885,3146
MELBOURNE CITY COUNCIL,THE CAVENDISH DARK HORSE PTY LTD,Restaurant and cafe Licence,GIMLET AT CAVENDISH HOUSE,CAVENDISH HOUSE                                    33 RUSSELL STREET,MELBOURNE,3000,51 GERTRUDE STREET,FITZROY,32352893,3065
MELBOURNE CITY COUNCIL,TOM'S SUSHI CLUB PTY LTD,On-Premises Licence,TOM'S SUSHI CLUB,"TENANCY GD76, GROUND LEVEL, MELBOURNE CENTRAL      SHOPPING CENTRE, 360 ELIZABETH STREET",MELBOURNE,3000,"TENANCY GD76, GROUND LEVEL, MELBOURNE CENTRAL      SHOPPING CENTRE, 360 ELIZABETH STREET",MELBOURNE,32352958,3000
MELBOURNE CITY COUNCIL,LOCCO PTY LTD,Restaurant and cafe Licence,HAKOYA IZAKAYA,GROUND FLOOR                                       364 LONSDALE STREET,MELBOURNE,3000,1/48 AUSTIN CRESCENT,PASCOE VALE,32353069,3044
MELBOURNE CITY COUNCIL,CAO & WANG INVESTMENT PTY LTD,Restaurant and cafe Licence,DANCING FLAME CHARCOAL GRILL,579-581 ELIZABETH ST,MELBOURNE,3000,22 CRIMSON AVENUE,BLACKBURN SOUTH,32353239,3130
MELBOURNE CITY COUNCIL,EIGHTY COLLINS TWO PTY LTD,Restaurant and cafe Licence,YAKIMONO,TENANCY K.05                                       80 COLLINS STREET,MELBOURNE,3000,LUCAS GROUP                                        18 OLIVER LANE,MELBOURNE,32353247,3000
MELBOURNE CITY COUNCIL,KARMA COFFEE PTY LTD,Restaurant and cafe Licence,CENTRO ESPRESSO,SHOP 2 CENTRE PLACE ARCADE,MELBOURNE,3000,40 HIGHETT ROAD,HAMPTON,32353302,3188
MELBOURNE CITY COUNCIL,ASIA PACIFIC CENTER PTY LTD,Restaurant and cafe Licence,APC LOUNGE,375 QUEEN STREET,MELBOURNE,3000,375 QUEEN STREET,MELBOURNE,32353378,3000
MELBOURNE CITY COUNCIL,DAMIAO DINING PTY LTD,Restaurant and cafe Licence,DAMIAO DINING PTY LTD,LEVEL 1                                            388-396 ELIZABETH ST,MELBOURNE,3000,LEVEL 1                                            388-396 ELIZABETH ST,MELBOURNE,32353394,3000
MELBOURNE CITY COUNCIL,EIGHTY COLLINS ONE PTY LTD,Restaurant and cafe Licence,SOCIETY ON COLLINS,TENANCY 2.01 AND MEZZANINE                         80 COLLINS STREET,MELBOURNE,3000,LUCAS GROUP                                        LEVEL 2 / 18 OLIVER LANE,MELBOURNE,32353433,3000
MELBOURNE CITY COUNCIL,FAB DUDE PTY LTD,Restaurant and cafe Licence,PALM SUGAR THAI CAFE,"T2, 595 COLLINS ST",MELBOURNE,3000,"MONARC APARTMENTS                                  UNIT 512, 74 QUEENS RD",MELBOURNE,32353548,3004
MELBOURNE CITY COUNCIL,APPLES AND PEARS ENTERTAINMENT GROUP PTY LTD,Restaurant and cafe Licence,APPLES AND PEARS,131 QUEEN STREET,MELBOURNE,3000,141 QUEEN STREET,MELBOURNE,32353645,3000
MELBOURNE CITY COUNCIL,ATLANTIC GROUP (V) PTY LTD,Restaurant and cafe Licence,THE ELMS BY ATLANTIC GROUP,GROUND FLOOR                                       271 SPRING STREET,MELBOURNE,3000,SHED 9 CENTRAL PIER                                161 HARBOUR ESPLANADE,DOCKLANDS,32353807,3008
MELBOURNE CITY COUNCIL,ARBORY PTY LTD,Restaurant and cafe Licence,ARBORY AFLOAT,YARRA RIVER                                        ADJACENT FLINDERS LANDING,MELBOURNE,3000,LEVEL 15                                           200 QUEEN STREET,MELBOURNE,32353904,3000
MELBOURNE CITY COUNCIL,BOYER JONES GROUP PTY LTD,On-Premises Licence,REVERIE CAFE,"TENACY GD73, GROUND LEVEL, MELBOURNE CENTRAL       360 ELIZABETH STREET",MELBOURNE,3000,31 IZETT ST,PRAHRAN,32354007,3181
MELBOURNE CITY COUNCIL,BABABOI PTY LTD,Restaurant and cafe Licence,BABABOI FOODHALL,11 GEM PL,MELBOURNE,3000,11 GEM PL,MELBOURNE,32354057,3000
MELBOURNE CITY COUNCIL,SILVERTAIL RESTAURANT PTY LTD,Restaurant and cafe Licence,HAZEL MELBOURNE,"BASEMENT, GROUND & LEVEL 1                         164 FLINDERS LANE",MELBOURNE,3000,"HAZEL RESTAURANT                                   GROUND FLOOR, 164 FLINDERS LANE",MELBOURNE,32354073,3000
MELBOURNE CITY COUNCIL,BYRDI PTY LTD,On-Premises Licence,BYRDI,TENANCY GD075 MELBOURNE CENTRAL SHOPPING CENTRE    360 ELIZABETH STREET,MELBOURNE,3000,74 HAVERBACK DRIVE,MULGRAVE,32354219,3170
MELBOURNE CITY COUNCIL,UNCLE_8 (QV) PTY LTD,Restaurant and cafe Licence,UNCLE_8 (QV),"TENANCY 1-001, QV SHOPPING CENTRE, CNR LONSDALE AN",MELBOURNE,3000,13 TOULON DRIVE,Templestowe Lower,32354811,3107
MELBOURNE CITY COUNCIL,AUSTRALIAN COMPUTER SOCIETY INC,On-Premises Licence,AUSTRALIAN COMPUTER SOCIETY INCORPORATED,LEVEL 14                                           839 COLLINS STREET,MELBOURNE,3000,"AUSTRALIAN COMPUTER SOCIETY LIMITED                LVL 27, TOWER 1, 100 BARANGAROO AVE","BARANGAROO, NSW",32354861,2000
MELBOURNE CITY COUNCIL,TK TOWN PTY LTD,Restaurant and cafe Licence,THAI TOWN,"SHOP ART 25, QV, CORNER SWANSTON AND LONSDALE STRE",MELBOURNE,3000,"SHOP ART 25, QV, CNR SWANSTON AND LONSDALE STS",MELBOURNE,32355126,3000
PORT PHILLIP CITY COUNCIL,COFFEE ELEMENTS PTY LTD,Restaurant and cafe Licence,HUES CAFE,GROUND FLOOR                                       492 ST KILDA ROAD,MELBOURNE,3004,GROUND FLOOR                                       492 ST KILDA RD,MELBOURNE,32355207,3004
