F10,F11,F2,F3,F4,F5,F6,F7,F8,Current Victorian Liquor Licences for Metro & CBD as of 31/12/2020,F9
MELBOURNE CITY COUNCIL,KBC HOSPITALITY PTY LTD,Restaurant and cafe Licence,POK POK JUNIOR,9/555 BOURKE STREET,MELBOURNE,3000,"SHOP 9, 555 BOURKE STREET",MELBOURNE,32319887,3000
MELBOURNE CITY COUNCIL,MUY BIEN PTY LTD,Restaurant and cafe Licence,PASTUSO,"RESTAURANT TENANCY                                 LOT 2, 19 AC DC LANE",MELBOURNE,3000,DAVE PARKER - LICENSEE                             19 ACDC LANE,MELBOURNE,32319900,3000
MELBOURNE CITY COUNCIL,SUTTON AND MARK PTY LTD,Restaurant and cafe Licence,METRO BURGERS,12 DEGRAVES STREET,MELBOURNE,3000,12 DEGRAVES STREET,MELBOURNE,32319926,3000
MELBOURNE CITY COUNCIL,TNV ENTERPRISES (AUSTRALIA) PTY LTD,Restaurant and cafe Licence,CRUST GOURMET PIZZA BAR MELBOURNE CBD,"SHOP 1, 377 LONSDALE STREET",MELBOURNE,3000,26 TYRONE STREET,WERRIBEE,32319976,3030
MELBOURNE CITY COUNCIL,BAR NAPOLI EMPORIUM PTY LTD,On-Premises Licence,BAR NAPOLI,"TENANCY 3-027, LEVEL 3,                            EMPORIUM MELBOURNE, LONSDALE STREET,",MELBOURNE,3000,LEVEL 27 RIALTO NTH TOWER                          525 COLLINS ST,MELBOURNE,32320032,3000
MELBOURNE CITY COUNCIL,LOHAYANJAREE NUTTANAN,Restaurant and cafe Licence,NANA THAI STYLE HOTPOT & BBQ,"GROUND FLOOR, 169 BOURKE STREET",MELBOURNE,3000,5 RIGBY LANE,KENSINGTON,32320058,3031
MELBOURNE CITY COUNCIL,HAEJUCK PTY LTD,Restaurant and cafe Licence,SOOL TONG,207 QUEEN STREET,MELBOURNE,3000,207 QUEEN STREET,MELBOURNE,32320066,3000
MELBOURNE CITY COUNCIL,GLOBE ALLEY PTY LTD,On-Premises Licence,GLOBE ALLEY PTY LTD,"LEVEL 1, 230 SWANSTON STREET",MELBOURNE,3000,GPO BOX 1377,MELBOURNE,32320105,3001
MELBOURNE CITY COUNCIL,SHOP 209 PTY LTD,Restaurant and cafe Licence,CHINA BAR,257-259 SWANSTON STREET,MELBOURNE,3000,26 HARKER STREET,BURWOOD,32320163,3125
MELBOURNE CITY COUNCIL,THAILANDER MELBOURNE PTY LTD,Restaurant and cafe Licence,THAILANDER,425 LITTLE COLLINS STREET,MELBOURNE,3000,425 LITTLE COLLINS STREET,MELBOURNE,32320171,3000
MELBOURNE CITY COUNCIL,JOLLY J'S PTY LTD,Restaurant and cafe Licence,JOLLY J'S PTY LTD,TG22 GOLDSBROUGH LANE                              550 BOURKE STREET,MELBOURNE,3000,TG22 GOLDSBROUGH LANE                              550 BOURKE STREET,MELBOURNE,32320197,3000
MELBOURNE CITY COUNCIL,YL CO PTY LTD,Restaurant and cafe Licence,KORCHI 2,441-443 LITTLE BOURKE STREET,MELBOURNE,3000,441-443 LITTLE BOURKE STREET,MELBOURNE,32320333,3000
MELBOURNE CITY COUNCIL,GRILL'D LEASING PTY LTD,On-Premises Licence,GRILL'D,"TENANCY 3-060, LEVEL 3,                            EMPORIUM MELBOURNE, LONSDALE STREET,",MELBOURNE,3000,LEVEL 2 4-10 AMSTERDAM STREET,RICHMOND,32320359,3121
MELBOURNE CITY COUNCIL,BUZA FOOD PTY LTD,Restaurant and cafe Licence,BUZA CHICKEN,"SHOP 3, 365 QUEEN STREET",MELBOURNE,3000,"SHOP3 , 365 QUEEN ST",MELBOURNE,32320422,3000
MELBOURNE CITY COUNCIL,THE LAB A PTY LTD,Restaurant and cafe Licence,LE CHARME DE SAIGON,SHOP 3                                             178 LITTLE BOURKE STREET,MELBOURNE,3000,14A GEORGE STREET,BLACKBURN,32320456,3130
