Asset Clas,Asset Subt,Asset Type,Descriptio,Geo Point 2D,Geo Shape,Mcc Id,Model Desc,Model No,Objectid,Prop Id,Roadseg Id,Str Id,Addressp 1,Addresspt,Addresspt1
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.83884804951157, 144.97654745650496","{""coordinates"": [144.97654745650496, -37.83884804951157], ""type"": ""Point""}",1255102,Sign - Public Transport 1 Panel,P.16,35673,0,22472,1255102,311,545595,63.68983374
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 1,"-37.79575422957359, 144.95827417192294","{""coordinates"": [144.95827417192294, -37.79575422957359], ""type"": ""Point""}",1579927,Sign - Public Transport 1 Panel,P.16,35677,0,22603,1579927,158,108456,53.11278613
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.812490976626215, 144.95370614040704","{""coordinates"": [144.95370614040704, -37.812490976626215], ""type"": ""Point""}",1252885,Sign - Public Transport 1 Panel,P.16,36376,0,20030,1252885,99,602160,16.14376437
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.81389991110184, 144.95734143620206","{""coordinates"": [144.95734143620206, -37.81389991110184], ""type"": ""Point""}",1231223,Sign - Public Transport 1 Panel,P.16,36659,0,20185,1231223,251,110101,16.88512037
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.81689800649741, 144.9618384108209","{""coordinates"": [144.9618384108209, -37.81689800649741], ""type"": ""Point""}",1236979,Sign - Public Transport 1 Panel,P.16,36738,0,20114,1236979,72,579386,24.66895752
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.800676522454324, 144.94582553723103","{""coordinates"": [144.94582553723103, -37.800676522454324], ""type"": ""Point""}",1251360,Sign - Public Transport 1 Panel,P.16,36745,0,22681,1251360,320,100115,23.36010884
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 11,"-37.809284824359445, 144.9519620478619","{""coordinates"": [144.9519620478619, -37.809284824359445], ""type"": ""Point""}",1253512,Sign - Public Transport 1 Panel,P.16,36984,0,21413,1253512,69,546268,7.60575447
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.81157690963881, 144.9563833753157","{""coordinates"": [144.9563833753157, -37.81157690963881], ""type"": ""Point""}",1252698,Sign - Public Transport 1 Panel,P.16,37251,0,21519,1252698,70,644826,16.46017017
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 12,"-37.79520927466022, 144.92595354542772","{""coordinates"": [144.92595354542772, -37.79520927466022], ""type"": ""Point""}",1370844,Sign - Public Transport 1 Panel,P.16,37666,0,21749,1370844,141,105248,18.31076645
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.801527048931604, 144.9567967131992","{""coordinates"": [144.9567967131992, -37.801527048931604], ""type"": ""Point""}",1248528,Sign - Public Transport 1 Panel,P.16,37802,0,20594,1248528,173,107520,24.91047603
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.79731310405415, 144.967955914192","{""coordinates"": [144.967955914192, -37.79731310405415], ""type"": ""Point""}",1240839,Sign - Public Transport 1 Panel,P.16,37956,0,20689,1240839,336,103108,10.9808405
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.80365281271108, 144.9564163595527","{""coordinates"": [144.9564163595527, -37.80365281271108], ""type"": ""Point""}",1248457,Sign - Public Transport 1 Panel,P.16,38386,0,20942,1248457,21,589314,18.16455397
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.84529099706835, 144.9822703144505","{""coordinates"": [144.9822703144505, -37.84529099706835], ""type"": ""Point""}",1254921,Sign - Public Transport 1 Panel,P.16,39976,0,22308,1254921,0,0,0
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 1,"-37.8010481279157, 144.9534576515341","{""coordinates"": [144.9534576515341, -37.8010481279157], ""type"": ""Point""}",1576502,Sign - Public Transport 1 Panel,P.16,40039,0,21124,1576502,38,110262,24.9969919
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.82183999762308, 144.91339835942287","{""coordinates"": [144.91339835942287, -37.82183999762308], ""type"": ""Point""}",1244875,Sign - Public Transport 1 Panel,P.16,40048,0,22162,1244875,199,110506,98.32660753
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.79790612032, 144.9705713015547","{""coordinates"": [144.9705713015547, -37.79790612032], ""type"": ""Point""}",1479426,Sign - Public Transport 1 Panel,P.16,40180,0,20563,1479426,335,106271,26.30246726
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 12,"-37.79820340709036, 144.92045435450206","{""coordinates"": [144.92045435450206, -37.79820340709036], ""type"": ""Point""}",1370992,Sign - Public Transport 1 Panel,P.16,40964,0,21845,1370992,133,569239,2.34400704
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.787760777855524, 144.9253892133351","{""coordinates"": [144.9253892133351, -37.787760777855524], ""type"": ""Point""}",1491448,Sign - Public Transport 1 Panel,P.16,41353,0,23146,1491448,342,618547,52.27276699
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.82565495609574, 144.96017643000502","{""coordinates"": [144.96017643000502, -37.82565495609574], ""type"": ""Point""}",1239918,Sign - Public Transport 1 Panel,P.16,42750,0,22042,1239918,72,108053,33.5189726
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.804610872159635, 144.9691537208721","{""coordinates"": [144.9691537208721, -37.804610872159635], ""type"": ""Point""}",1479404,Sign - Public Transport 1 Panel,P.16,42881,0,20556,1479404,143,108156,4.34256802
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 11,"-37.82359653225718, 144.96952122205516","{""coordinates"": [144.96952122205516, -37.82359653225718], ""type"": ""Point""}",1239499,Sign - Public Transport 1 Panel,P.16,43889,0,22080,1239499,14,566451,26.33672928
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 1,"-37.803251103562474, 144.92985291146388","{""coordinates"": [144.92985291146388, -37.803251103562474], ""type"": ""Point""}",1579414,Sign - Public Transport 1 Panel,P.16,43908,0,21675,1579414,100,103003,24.64426045
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 12,"-37.79624528473142, 144.9241544090541","{""coordinates"": [144.9241544090541, -37.79624528473142], ""type"": ""Point""}",1235586,Sign - Public Transport 1 Panel,P.16,43934,0,21844,1235586,176,561739,32.73621458
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 1,"-37.79987669561117, 144.9500539642789","{""coordinates"": [144.9500539642789, -37.79987669561117], ""type"": ""Point""}",1576818,Sign - Public Transport 1 Panel,P.16,44096,0,21176,1576818,226,103446,5.4150398
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.822043457134946, 144.9612717467519","{""coordinates"": [144.9612717467519, -37.822043457134946], ""type"": ""Point""}",1233069,Sign - Public Transport 1 Panel,P.16,44103,0,22184,1233069,48,108040,21.87089283
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.84636998833038, 144.98481744885754","{""coordinates"": [144.98481744885754, -37.84636998833038], ""type"": ""Point""}",1255248,Sign - Public Transport 1 Panel,P.16,44170,0,22481,1255248,90,645774,63.9730963
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.810346877102674, 144.96112338314163","{""coordinates"": [144.96112338314163, -37.810346877102674], ""type"": ""Point""}",1238870,Sign - Public Transport 1 Panel,P.16,44287,0,20024,1238870,161,660997,16.41454879
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.79755334862349, 144.97488727650415","{""coordinates"": [144.97488727650415, -37.79755334862349], ""type"": ""Point""}",1247562,Sign - Public Transport 1 Panel,P.16,44401,0,20880,1247562,225,511049,75.22761474
