Block Id,Census Year,Clue Small Area,Commercial Accommodation,Common Area,Community Use,Educational Research,Entertainment Recreation Indoor,Equipment Installation,Hospital Clinic,House Townhouse,Institutional Accommodation,Manufacturing,Office,Park Reserve,Parking Commercial Covered,Parking Commercial Uncovered,Parking Private Covered,Parking Private Uncovered,Performances Conferences Ceremonies,Private Outdoor Space,Public Display Area,Residential Apartment,Retail Cars,Retail Shop,Retail Showroom,Retail Stall,Sports And Recreation Outdoor,Square Promenade,Storage,Student Accommodation,Total Jobs In Block,Transport,Transport Storage Uncovered,Unoccupied Under Construction,Unoccupied Under Demolition Condemned,Unoccupied Under Renovation,Unoccupied Undeveloped Site,Unoccupied Unused,Wholesale,Workshop Studio
511,2021,Kensington,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,4,0,0,0,0,0,,0,0,0
512,2021,Kensington,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,0,,0,0,0,0,0,0,0,0,6,0,0,,0,0,,0,0,0
515,2021,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,2021,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,2021,Kensington,0,,153,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,,0,0,0,0,0,0
522,2021,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,2021,Kensington,0,0,0,0,,0,111,0,0,0,28,0,0,0,0,0,,0,0,,0,16,0,0,0,0,0,0,161,0,0,0,0,0,0,,0,0
527,2021,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
531,2021,Kensington,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
544,2021,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,2021,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,2021,Kensington,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,2021,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,2021,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,2021,Kensington,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,26,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
562,2021,Kensington,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
565,2021,Kensington,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,2021,East Melbourne,,0,0,0,,0,89,0,0,0,46,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,,0,0,0
607,2021,East Melbourne,,0,0,0,18,,198,0,0,0,793,0,0,0,0,,0,0,0,0,0,28,0,0,0,0,0,0,1038,0,0,0,0,0,,0,0,0
608,2021,East Melbourne,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
611,2021,East Melbourne,0,,0,,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,30,0,0,0,0,0,0,,0,0
614,2021,East Melbourne,,0,0,0,,,826,0,0,0,0,0,,0,,0,0,0,0,,0,,0,0,0,0,0,0,855,0,0,0,0,0,0,,0,0
617,2021,East Melbourne,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,9,0,0,0,0,0,,0,0,0
620,2021,East Melbourne,0,0,0,,0,,643,0,0,0,261,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,924,0,0,0,0,0,0,0,0,0
621,2021,East Melbourne,,0,0,,,0,68,,0,0,1073,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1244,0,0,0,,,0,0,0,0
646,2021,East Melbourne,,0,0,,,,144,0,0,0,139,0,,0,0,0,0,0,0,,0,,0,0,0,0,,,356,0,0,0,0,,0,0,0,0
651,2021,East Melbourne,,0,0,0,85,0,,,0,0,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,366,,0,0,0,0,0,0,0,0
653,2021,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
658,2021,East Melbourne,0,,0,0,3185,,0,0,0,0,,,0,0,,0,0,,,0,0,,0,0,,0,0,0,4104,0,0,0,0,0,0,0,0,0
661,2021,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
663,2021,Melbourne (Remainder),0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
